address,amount,
0xede154fb09ba5511fd29fe93eb460c675c792ddf,0.05,
0xe9f936ed99500069abf082b59f715e923732ba3f,0.056,
0x981d8228bea8c1cd800018d1dc444b639d78b4f7,0.06,
0x9c5225827f7c62b5ca5fcc4c1a26b908b607e33c,0.065333333,
0xb4259aa6cb51182dd8864b99374ea5758dc900d2,0.070333333,
0x7b732b87471736a64ebf9d7e1e327ac8519d7c96,0.075333333,
0xf729a231159e0a81a5dc9731fa62834d6c3ec9e1,0.080333333,
0xc5c7a5e56b936db1b040ce348620150e8f86c8ea,0.085333333,
0x99aecdc9b5f7c34cef840cbf21ca4a14d379b5f2,0.090333333,
0x558080bf89e2fd04bb1333c8a1f3a0c26ccd4182,0.095333333,
0x9ddb1fc799c34dd44bdc77cf057bebace5f57c7f,0.100333333,
0xf4ef5d5584e87351521171e08908b50e62477b08,0.105333333,
0x10a1f1b13cea3ab1ed5b37e47dbaa96cfcaae6b3,0.110333333,
0xc7171bb8eec01f746a92ad8efb26327287a7214e,0.115333333,
0x527a888b11fd0c5317ce3e1528390344335bbd58,0.120333333,
0x30424f17fa9e6b5068e46885e24f30a5253e4871,0.125333333,
0xc21d175492eea0eb53a46d9dc4855d25dc555134,0.130333333,
0x7bbecb0663e7941ddb64c8f9ed5cb126367def41,0.135333333,
0x85f76ca2b7c4d01010a30bc75ab2260e515e0616,0.140333333,
0xfea7f630b1e23c579d58ccd5623dfea698ae17fc,0.145333333,
0x891d9d4e2c5e010ad45535318fd23a3b4ed3641f,0.150333333,
0xc1c5287271e5fe44f7b1936f7a89bdacfe0d9eae,0.155333333,
0xf82bf747197484524c8591859749374144bf9305,0.160333333,
0xd88d33e474a6e4623a6aa1fa04731ed601bf4878,0.165333333,
0x772cf1f32af4aa1738acc5da0a62b31c91d8d986,0.170333333,
0x7716fc9133f8b53880db54ffe38587d974a531d2,0.175333333,
0xb277aea196a71f39b31b45bcc0221b17cefd0f0e,0.180333333,
0xabcca873c50f39af3a2b00d84ecd120e5fef15d3,0.185333333,
0x53623e030283f3dd3817f0a685686833973b7cd7,0.190333333,
0x6bdc968a4d499b40638cb70019eebc8692e987f1,0.195333333,
0x4b6f13dd0edcbcc1e4284bd19890efc442d4926c,0.200333333,
0xbd8f46321e2b19fb3377caf91b9366a05f7bdbcf,0.205333333,
0x669e09ddbfbaae78364418f2dfbbb83b889d97ad,0.210333333,
0x3a2af1217047864cecefff03843419b6b126905e,0.215333333,
0xab1104e7426183d27344f0be6f73a929cfad5545,0.220333333,
0x94d030e8805e910a6af245f51a1a9492ccb1ed85,0.225333333,
0x8f5af08eaa3f772731297f65d020493b70c2ce70,0.230333333,
0x4d2cd4e4241769c40c67cf32cefc76dab05c6c69,0.235333333,
0x2209b9cd1dd86d965be05a133a0653f88c890d5d,0.240333333,
0x17dbe97ddc75ae69dbbbdca5f9ca0d68777929a0,0.245333333,
0x1503cc873b992878e9a09a4c5f5af9333511892d,0.250333333,
0x58f05d216a4cbb58cc59c0cf92b9e1c1c6c7de79,0.255333333,
0xcedc2abe63c1506ca8ca5839fd2c5a470621a1ce,0.260333333,
0xfb523de1b1dc0977c92394d4ce404c7f2ee59412,0.265333333,
0xdd05c32a2e117f78a3d834c9267187f246a3ac37,0.270333333,
0x5fa2a3185f10f17091a06d0e3000af977f5451c7,0.275333333,
0xfc602cb3a22c92a1835126049997b0bc7c910bff,0.280333333,
0x15c35656287b8d1fee727f334bcac3f2fb448442,0.285333333,
0x28df3d72a3d685bc4a9ea01e55fa67fa99cc4758,0.290333333,
0xcbc00a3cdab45855bc54f1c02c1c6d10c59e612f,0.295333333,
0x71d5c3b585a079653f07e46f664a1d6ecd21a035,0.300333333,
0xd109ace704a68e460d611ac80caaed1f2ff4af45,0.305333333,
0x629b2f9fd2a31036341c0bee9aeb020fea28c0cd,0.310333333,
0xc7aafe1d4868b2c0c4094a4734c74c705b16204c,0.315333333,
0x0755624e6150fc85e3c0f977c3a11d7d321a7236,0.320333333,
0x70788d308cd4e1cef46fb3605e9517a91b31fd83,0.325333333,
0x01bd88165647573367acf95123f7e08265b9840c,0.330333333,
0x3913633ae62a681907b740656e90aa06f20a6e48,0.335333333,
0x3a3fb23769fefb3d1ecc6d41dd9247bf312be658,0.340333333,
0xf19771bcfcada4a2e196666f15eec8992ded26bc,0.345333333,
0x991aeef967b1e5e6a608abab2db05577561c2b8f,0.350333333,
0xd5d91fa17fa380629116657c1105910e5e0614c2,0.355333333,
0x4ce914e8d29c2a9dd03a524153acf28e70ea74f1,0.360333333,
0x91c19df3a80157ea1374766298c1267a868b0a09,0.365333333,
0xca6d72c6725d3a213a5fa0c1b5fb95ccc8e35ef6,0.370333333,
0xe3fc55030db9fa3745817776fefacbc0b20a8420,0.375333333,
0x8b7e2d4bca3e082aa2262259fc5372e93f241cc9,0.380333333,
0x9d3e2b82ef5584dea48872a617b537513bb25b19,0.385333333,
0x6f5b6f6dc5998bd219ee3432a852cd672ebaefbd,0.390333333,
0x3216473160c2c9a5e7c9597562e1706566f46253,0.395333333,
0xc7fb28f4fdffdaaf8c250f088bfbcb07c0eda5ee,0.400333333,
0x4058f5edf4a7e942128baa9846894838445287f7,0.405333333,
0xfd60b8dd489f2960b0fc7a6580692d2a3356188f,0.410333333,
0x772b3f919396ac2d2ca632a7deec102f80d496a9,0.415333333,
0xe484a35c92d3089cc8df03867669d77ed0b56685,0.420333333,
0x295403f0e1375860d4127610475340e3904db59f,0.425333333,
0xf7c11c5b495470a9d0928cf7a1aaca7337a6236a,0.430333333,
0xbc6212ce28962def2adf157ba79e2c0fb3e784a0,0.435333333,
0xc18ec2e10f0584dcca708655e61d60af1651338e,0.440333333,
0xe7e737b36ec202eca347fcbab5a59ad01ea0236e,0.445333333,
0xea287eee2b4881af0e34425f4b17f6741c8fc8bf,0.450333333,
0x39058220550e8f2cdf08f37c27c047e655c5e8c4,0.455333333,
0xb33ef623d5ddab4b9139e4ab7e5cc236ee952b74,0.460333333,
0x64aac603527372eae21e451021581a4ab77429d0,0.465333333,
0x3a507459bcad34e5058d22359ce2f7728de059f6,0.470333333,
0xdb320814f7f90ee8895210749b78ce753cc6213b,0.475333333,
0xd1548d8227f6ea23d8666abc33c64016af194b41,0.480333333,
0xb5849d2341f7203bf839e5a06bb5032b81c98d8f,0.485333333,
0x16d9239bb7f465eb848b835ea96938d87ae10990,0.490333333,
0x5884c23bdf85723de33b292e8fef170e844333cb,0.495333333,
0xe19cc7ed33e0bf8c2048a60a9e0dac697dfd93c5,0.500333333,
0x0cade092fe8dfa3a0aa000a5e83e6f6d62b805f9,0.505333333,
0x94a500ac60d40e6f803b0039737fe999b52714b0,0.510333333,
0x0e535aad3028e32ff69530e3c8d63e8e76dd9ce9,0.515333333,
0x4b253ca5fe6103bca0495579d7bcd505a16bc813,0.520333333,
0x3982db8ae0351f7363fb5c50bb256f451a621bbe,0.525333333,
0xff49c66add858570afe07f602952c2a026ee6053,0.530333333,
0x766e599ad0bcd94dcb4958e9a9dbc3045aa90704,0.535333333,
0x5bdccec0f6c5228d45651ed8d7e54e5aef684db9,0.540333333,
0x7450d870e2fe269eb011ddf766c1ccb6a4994182,0.545333333,
0xdf61f182a6155e9282f9cbad60a265a7e943b565,0.550333333,
0x9c025e76155a4aea5942dcec3078d18c6ca52707,0.555333333,
0x2ba9f50ad47a636f7cb5c89d80843c7cdd82792a,0.560333333,
0xffa5471676d9c09031c99d8608ac840aba4fcb7a,0.565333333,
0x7c99c3f0af340f3ecdf486b635ad353bef3944d2,0.570333333,
0xc9661dab4a4a0e3772d24afba7e2d960da6657f7,0.575333333,
0xc3258757bd6243809311d9394f65a718a0c23255,0.580333333,
0x9ff3197bd066a080b53288e0b9256bf854a668af,0.585333333,
0x37b919eeb26707a4c0f71537d0c3617ec55dece6,0.590333333,
0xf71c4d2551104be8abe1539dbf45423ec79f739b,0.595333333,
0x4f62475ad8acfc56d1cbe3c8952a76b40b39af52,0.600333333,
0x0757b6b479ddf066188dc83caa3b5bfd1bf3d443,0.605333333,
0x2ffdd3e13c8785be545b87862c06b59a69fb6c33,0.610333333,
0xec1efeaa39185e372db8bf0d97f7db9eed423cb7,0.615333333,
0xc202bf579d69696dee965eebba00bae260413562,0.620333333,
0x45ad14173de0325e023c015e161a135a85f3f6fc,0.625333333,
0x7d3e95ed66b3e33441f3b77ccc5c4a8b1b6a9905,0.630333333,
0xf40eb487a1f471e702e518484eb9d9b6bc63792d,0.635333333,
0x9ca8f9bd29c5caf3f0b234785c46f29fd2f143c7,0.640333333,
0x05fd6e8b8699183fcc367dd22528341dde935c2f,0.645333333,
0x935ad33382080eb8df7dc176eeddd85fafd200e1,0.650333333,
0xa4468501411fbcfa84491f671a07e2cb5e35cced,0.655333333,
0xff5be82abd5a296e58557d61b7389ed3b556958b,0.660333333,
0xbe721d762dcd9672a4abd855b643a8cd671344a4,0.665333333,
0xfb3d91165a7e511f34e855910849abb3bdabe8a2,0.670333333,
0x77b56664a8f3e4542311999444a4864ea5d9446d,0.675333333,
0x93c12a9a2cc5a4dc5d9a72ab4b2d57d5a5d58937,0.680333333,
0x4195c75c328ce314a7f8225115bfd145748ab9eb,0.685333333,
0xf9716457c203fc5b9a2de977a06a5f6ec9f600da,0.690333333,
0x5f2a64e98d11094e98352c1ce600945e64406293,0.695333333,
0x7bbf843e7041335177e81790320a43105e7e9315,0.700333333,
0xf0b38dd41150b84328c11f8bbf1c7a0c8d52844d,0.705333333,
0xe9094d2a525fa869e947510e1fb04139968c894d,0.710333333,
0x981febcc42d48d817f5fd6a9452465e533d3085f,0.715333333,
0x6ce856de8391eb63106e83fc2b82d7f6d3a7d2a1,0.720333333,
0xcbf9c7ecb4f72d965a2fd63cc2f2cd52411b03fc,0.725333333,
0x94f057267ce5a7134451cb495290e650a47f344f,0.730333333,
0x5bd69acd3aacdcde0f75370294c7108b25be9086,0.735333333,
0x17c0d55ccac02bee75ede5d776ca1d35c9cf0a31,0.740333333,
0x427477fcf340783ffc1b3d92a58dcd2ff8c101d2,0.745333333,
0x97b46c8cf3dee9c36b6448f3463ff8049128ae5b,0.750333333,
0xeaee71e5b122908fefab442961b73f58081b744e,0.755333333,
0xa95ddd2835894d002c22363664adf1f6963a156d,0.760333333,
0xa109440aad81cb402969abe29106fed4e33f0c27,0.765333333,
0x16417997433a151a115c26d9f50688e685ef7dd0,0.770333333,
0xc0a1a1df1dacb44489aca838b23735795fe64a97,0.775333333,
0xca44b4cfffb4634bacf26a620cf5d66aa536dde7,0.780333333,
0x04d6ccb690d89954c00b00a598ce6a0ed47056b4,0.785333333,
0xbea1b39bb5114af8210a72220c7ad7d89b4f1596,0.790333333,
0x6ce2519b2b4b0b0e47cb60dd9554ade1a22ccff0,0.795333333,
0xc9759b33a6041322bf257b28dc99b2c0fc4963d1,0.800333333,
0xd4de6ff11f56c4f692f0a42079221c5249ed0d89,0.805333333,
0x935481be02850f57b210b057d3cfbbf369848d46,0.810333333,
0xdc1138520a089138cc20143a0e6696c497ae9cb1,0.815333333,
0x76a56e2fd02810f69889c1032dee900a19141201,0.820333333,
0xd7faa5f682a872a037c9d18b2fe12b7784d6cb58,0.825333333,
0xbdd76fca620ee047f7c4d4d50e3d9796d033f52c,0.830333333,
0x5a9d367cebddd3939a337095f48e60e239118a18,0.835333333,
0x4f667d15d59c0084e10a26f7c42170fb8d2281b6,0.840333333,
0x6995ef3ec49a9832b49bc880b21f856fea6b8fee,0.845333333,
0x0088113b30943c3674fde8cf774b0506f6c525a8,0.850333333,
0x8ebe0c54e6d57cbaa3e00bf2993bc7bd765f6a70,0.855333333,
0xbba4d80d0621082bdde61e419624249535a25786,0.860333333,
